id,createdAt,questionnaire_age,questionnaire_gender,questionnaire_timestamp,questionnaire_tax_attitude,questionnaire_diet_frequency,questionnaire_discussion_frequency,experiment_timestamp,experiment_comment_text,experiment_experimentVersion,feedback_timestamp,feedback_technical_issues,feedback_interesting_observations
P_2025_04_22_1ISFI6,2025-04-22 15:31:32.784,23,female,2025-04-22T15:31:32.783Z,1,3,0,2025-04-22T15:33:44.525Z,Efter att ha andats i 10 sekunder så ser jag både för- och nackdelar i förslaget ,experiment3.html,,,
P_2025_04_22_DIG9KS,2025-04-22 16:51:17.59,51,female,2025-04-22T16:51:16.480Z,2,3,0,2025-04-22T16:56:06.776Z,"Om man skulle införa köttskatt bör det gå tillbaka till de som tar fram bra vego mat, tex grönsaksproducerande bönder mm. för med rätt argument kan jag tänka mig att äta kött lite mer sällan å då dyrare.",experiment1.html,2025-04-22T16:56:53.059Z,,
P_2025_04_22_CUYNVH,2025-04-22 15:39:45.687,49,male,2025-04-22T15:39:45.685Z,1,4,0,2025-04-22T15:46:19.892Z,"Kött är nyttigt, kött är gott. Att skrämma bort konsumenter med hjälp av skatter är ett överförmynderi jag ogillar. Undantaget för mig är cigaretter trots att jag själv är rökare. Noll nytta för vare sig individ eller samhälle. Skyhöga kostnader för desamma. 

För övrigt är PETA ingen myndighet. ",experiment1.html,2025-04-22T15:46:58.241Z,Noll tekniska problem. ,
P_2025_04_22_GFWZWC,2025-04-22 15:59:59.492,25,female,2025-04-22T15:59:58.331Z,1,4,0,2025-04-22T16:04:31.379Z,"Känns som det finns så mycket annat som man bör fokusera på och jag tycker det är viktigt att se konsekvenserna med detta. Exempelvis: kommer folk välja alternativ som är minst lika dåliga för miljön, välja mer ohälsosamma alternativ ex. Halvfabrikat som mkt vegetarisk är osv",experiment2.html,2025-04-22T16:05:21.416Z,,Jätterolig idé! Inte sett något liknande innan 
P_2025_04_22_48DHL7,2025-04-22 16:36:14.626,23,female,2025-04-22T16:36:13.315Z,2,4,0,2025-04-22T16:41:00.493Z,Har du pengar kommer du ändå kunna göra vad du vill. All skatt som inte baseras på inkomst bidrar till klassklyftor.,experiment1.html,,,
P_2025_04_22_4CWZOA,2025-04-22 15:15:09.927,42,female,2025-05-04T09:21:17.000Z,2,2,0,2025-05-04T09:23:40.405Z,Hemskt att läsa och påminnas om. Någonting måste ju göras åt den hemska köttindustrin och skatt kanske faktiskt är rätt väg trots allt..,experiment4.html,2025-05-04T09:23:43.486Z,,
P_2025_04_22_6NKNZ2,2025-04-22 17:02:46.602,28,female,2025-04-22T17:02:45.335Z,2,3,0,2025-04-22T17:19:19.839Z,"Varför är cellodling på lab inget alternativ?  Tänk att cellodla en entrecote utan att skada ett enda djur. Hälsan är väl upp till var och en hur de vill leva, inte samhällets? 
Om cellodling dock var ett alternativ  men för ett dyrare pris hade jag lätt föredragit det framför dagens alternativ. ",experiment4.html,,,
P_2025_04_22_TCTXIO,2025-04-22 17:18:00,51,female,2025-04-22T17:17:58.650Z,2,2,0,2025-04-22T17:21:47.258Z,Instämmer @deltagare31,experiment3.html,2025-04-22T17:22:17.392Z,,
P_2025_04_22_KRJBAL,2025-04-22 17:32:26.323,53,female,2025-04-22T17:32:25.125Z,2,1,0,2025-04-22T17:37:27.626Z,Svårt att kommentera i denna djungel av icke så trevlig kommunikation men också pga jag inte (självvalt) äter knappt något kött alls. Och snälla ni behöver inte kommentera mitt inlägg. 🥗,experiment1.html,,,
P_2025_04_22_50PC1J,2025-04-22 18:06:28.887,50,male,2025-04-22T18:06:27.581Z,2,4,1,2025-04-22T18:12:31.097Z,Jag håller med om att det kan vara ett bra sätt att man betalar skatt för sin miljöpåverkan för att styra sin konsumtion. Detta bör dock vara generellt och inte bara riktat till en produkttyp. Men man skulle ju även kunna lägga den typ av beskattning direkt på producenten vilket kanske redan idag görs till viss del genom koldioxidskatt. Sedan tycker jag det blir svårt när artikeln blandar miljö och synen på om man ska äta kött och synen på djurhantering. Då blandas perspektiven ihop och jag blir kluven och osäker till vilket perspektiv som verkligen driver artikeln.   ,experiment1.html,2025-04-22T18:15:31.031Z,,"Artikeln som används är väldigt mångfaciterad och frågan om den handlar om miljö eller djurrätt. Man kan ju i teorin gilla kött, vara miljövän och även vara djurvän (beroende på hur man definierar det). "
P_2025_04_22_3PG3DG,2025-04-22 19:34:25.5,21,female,2025-04-22T19:34:25.499Z,3,3,0,2025-04-22T19:36:23.792Z,Jag håller med om att en köttskatt borde införas,experiment1.html,,,
P_2025_04_22_B2LPVI,2025-04-22 18:29:28.081,60,female,2025-04-22T18:29:26.784Z,2,3,0,2025-04-22T18:32:32.750Z,"Rätt neutral åsikt. Gillar kött och ser dess för och - nackdelar. 
",experiment2.html,2025-04-22T18:33:17.263Z,Nej,Väldigt olika nivåer på kommentarerna. 
P_2025_04_22_AD9VRR,2025-04-22 19:00:40.029,48,male,2025-04-22T19:00:40.028Z,3,3,0,2025-04-22T19:03:29.555Z,Tycker kanske att man ska göra starka lättnader för vegetariska alternativ och göra frukt och grönt helt skattefritt om det odlas i landet,experiment3.html,2025-04-22T19:05:58.853Z,Lite men det är försumbart men fick trycka på ”vidare-knappen” en extra gång i början bara,Tycker att såna här frågor är intressanta och tilltalande. Det behövs mer debatter om sånt här. 
P_2025_04_22_6D3RKM,2025-04-22 18:40:19.29,49,female,2025-04-22T18:40:17.908Z,2,3,0,2025-04-22T18:42:25.879Z,Tveksam om mer skatt är lösningen. Kommer drabba de som redan har det kärvt tex ensamstående mammor. ,experiment2.html,2025-04-22T18:42:55.963Z,,
P_2025_04_22_UJU176,2025-04-22 18:48:35.152,65,female,2025-04-22T18:48:35.150Z,1,2,2,2025-04-22T18:59:08.006Z,"Det mest bekymmersamma är all processad mat. Inte bra för klimatet, inte bra för hälsan och inte i närheten av att vara god.

Mer kött åt folket!",experiment1.html,,,
P_2025_04_22_VSR47N,2025-04-22 18:49:02.174,56,female,2025-04-22T18:49:02.173Z,2,4,1,2025-04-22T19:00:32.729Z,"För djurens skull absolut! 
Och vem vill inte ha en bättre hälsa och rädda vår planet. En kan inte göra allt, men många kan göra lite, som gör stor skillnad",experiment2.html,2025-04-22T19:02:07.352Z,,"Hur personer väljer att uttrycka sig är en vintig sak att diskutera, bra val av ämne!"
P_2025_04_22_ZPMQ9R,2025-04-22 19:12:51.729,42,female,2025-04-22T19:12:51.727Z,2,4,0,2025-04-22T19:19:54.516Z,"Instämmer med @deltagare37, det finns viktigare saker att lägga sin energi på.",experiment3.html,2025-04-22T19:20:45.662Z,,
P_2025_04_22_BSUUV8,2025-04-22 19:02:39.43,63,male,2025-04-22T19:02:39.428Z,0,4,3,2025-04-22T19:08:02.395Z,Jag tror inte köttskatt är vegen att gå. Man bör hellre fokusera på en bärkraftig produktion av kött. Det samma gäller också andra matvaror. ,experiment3.html,2025-04-22T19:10:08.367Z,,Jag tyckte många av kommentarerna var lite konstruktiva. Tyvärr är det också tillfället i många kommentarfelt. 
P_2025_04_22_VS8NDV,2025-04-22 19:26:48.131,65,female,2025-04-22T19:26:46.974Z,1,2,1,2025-04-22T19:28:39.473Z,Äter gärna kött och grönsaker ,experiment3.html,2025-04-22T19:29:07.848Z,Nej ,
P_2025_04_22_PC11LO,2025-04-22 19:34:25.819,50,male,2025-04-22T19:34:25.818Z,0,3,1,2025-04-22T19:37:04.869Z,Det räcker med befintliga skatter. Dyrt nog som det ät att äta svenskt. Viktigare att se till att ha hårda djurskyddskrav och se att de även gäller importerat kött.,experiment2.html,2025-04-22T19:37:30.868Z,,
P_2025_04_22_0TQF69,2025-04-22 19:35:44.586,55,female,2025-04-22T19:35:44.584Z,2,4,1,2025-04-22T19:39:30.188Z,"Det här får mig att fundera på hur jag, med eller utan skatt, ytterligare kan förändra mina vanor och äta mindre kött. Sedan ca 8-10 år tillbaka äter jag mindre kött än tidigare men jag kan nog ganska enkelt äta än mindre. Bra tankeställare! ",experiment4.html,,,
P_2025_04_22_FL0M1Q,2025-04-22 19:36:09.309,24,female,2025-04-22T19:36:09.308Z,2,3,0,2025-04-22T19:43:55.366Z,"Jag tycker artikeln är skriven på ett sätt som gör att jag inte litar på den. Den är inte trovärdig så jag blir mer skeptisk till innehållet då. Jag hade blivit mer övertygad om det stod ”skulle minskat utsläppen med X %” jämfört med det som står nu ”skulle minskat utsläppen rejält”. Ja, det kan jag också lista ut. Övrigt, köttskatt är väl inte så dumt. Finns dock många andra saker man kan fokusera på också för att främja den svenska hälsan. Ekonomi är tuff som den är så att addera en köttskatt löser nog inga problem helt själv, då får man nog sänka priserna på andra varor. Angående kommentarerna: jag sluta lyssna/läsa om det är folk som inte ens kan hålla en respektfull ton. Läser inte sån ”skit”. I regel tycker jag att folk som kommenterar på sociala medier är lite märkliga och kanske inte skarpaste personerna att ha en saklig diskussion med. ",experiment3.html,2025-04-22T19:44:19.292Z,,
P_2025_04_22_44X7IZ,2025-04-22 19:59:17.017,50,female,2025-04-22T19:59:17.002Z,2,4,2,2025-04-22T20:12:56.715Z,För hälsan är det bra att dra ner på köttet. För klimatet tänker jag att så länge det många länder som inför den typen av skatt så kan det säkert göra skillnad.,experiment2.html,2025-04-22T20:16:50.660Z,Inga tekniska problem.,Att de negativa kommentarerna tyvärr inte förvånade mig. 
P_2025_04_22_9WSE51,2025-04-22 19:32:26.381,51,male,2025-05-05T05:31:32.677Z,0,4,0,2025-05-05T05:38:26.024Z,Det är så klart extremt viktigt med god djurhållning. Förutsatt att man klarar det är det helt okej att äta kött.,experiment2.html,,,
P_2025_04_23_HTLTPJ,2025-04-23 06:58:33.567,23,female,2025-04-23T06:58:33.566Z,2,4,0,2025-04-23T07:21:45.267Z,Som @deltagare25 skriver tänker jag att det skulle kunna vara bra att införa skatt på oetiskt slaktat kött för att stötta lokala bönder och så vidare. Men lokalt producerat kött är oftast dyrare och resultatet av skatten blir att allt kött blir dyrare. Vilket är bra på så vis att man kanske tänker en extra gång innan man köper kött. Men samtidigt blir det en fråga om vem som har råd och vem som inte har det. Tror många som har råd skulle strunta i vad det egentligen kostar för att de vill ha sitt kött oavsett.,experiment3.html,2025-04-23T07:22:10.059Z,,
P_2025_04_23_IIOQX9,2025-04-23 05:08:05.926,50,female,2025-04-23T05:08:04.725Z,2,4,1,2025-04-23T05:14:11.779Z,För klimatets skull så kan jag absolut tänka mig en köttskatt!,experiment3.html,2025-04-23T05:16:35.662Z,Nej,
P_2025_04_23_OB3SOX,2025-04-23 05:30:37.897,53,male,2025-04-23T05:30:37.895Z,0,4,1,2025-04-23T05:34:55.356Z,"Alltid skatt på allt istället för att upplysa om problemen och vända opinionen och få medborgare att själva göra valet att inte äta så mycket kött. Höjda skatter på något brukar alltid betyda ökad brottslighet och smuggling. Jag som äter ekologiskt kött från egen gård, varför ska jag straffas för att andra vräker i sig fulkött från Irland?",experiment1.html,2025-04-23T05:35:40.934Z,,
P_2025_04_23_2LZSZM,2025-04-23 05:54:45.772,29,female,2025-04-23T05:54:44.618Z,3,0,0,2025-04-23T06:00:30.739Z,"Jag är positiv, men höjer man skatten i syfte att ändra beteende vore det mest rättvist att sänka skatten på något annat. I detta fall skulle skatten kunna sänkas för gröna produkter som kompensation på högre skatt på kött.",experiment2.html,2025-04-23T06:01:51.224Z,,
P_2025_04_23_KY0CWS,2025-04-23 06:45:07.542,41,female,2025-04-23T06:45:06.212Z,3,3,0,2025-04-23T06:55:32.625Z,"En viktig aspekt är att en skatt påverka tillverkarnas sätt att lansera nya produkter. Såg att man nu säljer köttfärs som heter hushållskött med 70 % nöt och 30% växtbaserat. Tror en skatt kommer tvinga aktörer att hitta proteinrik mat som kan fortsätta innehålla kött, men som nödvändigtvis inte är 100% kött.  ",experiment4.html,2025-04-23T06:56:16.049Z,,
P_2025_04_23_0CXGC8,2025-04-23 11:42:21.869,35,female,2025-04-23T11:42:20.511Z,2,4,0,2025-04-23T11:50:06.712Z,"Det som oroar mig mest i artikeln är att den bara visar på ett perspektiv. Jag säger inte att jag inte håller med om problematiken med mängden kött vi äter och djurens rätt, men utan en välbalanserad bild riskerar vi att inte komma någonstans. ",experiment4.html,2025-04-23T11:50:32.832Z,,
P_2025_04_23_KJ9RQP,2025-04-23 09:40:00.837,62,male,2025-04-23T09:39:59.641Z,0,4,3,2025-04-23T09:48:59.443Z,"Kött är dyrt redan som det är. En köttskatt skulle få allmänheten att äta mat med ännu sämre kvalitet. Bara titta på matkulturen i USA med ultraprocessat kött , hamburgare m.m och dess efterföljande effekt på folkhälsan, övervikt o hjärt kärlsjukdomar",experiment3.html,,,
P_2025_04_23_T6VJEM,2025-04-23 12:21:32.064,20,female,2025-04-23T12:21:30.759Z,2,0,0,2025-04-23T12:31:21.268Z,"Är själv vegan så bryr mig inte så mycket, men oroar mig över hetsen och fokuset på hälsa (både i artikeln och hos kommentarerna). Vet att det bara förstärker och förvärrar problemen vi har med ätstörningar idag i samhället. Något som ofta är ett större hälsoproblem en de till följd av ”ohälsosam mat”",experiment4.html,2025-04-23T12:33:37.342Z,,
P_2025_04_24_5K9AZZ,2025-04-24 04:30:29.685,26,female,2025-04-24T04:30:28.382Z,3,4,0,2025-04-24T04:38:31.530Z,"Jag tror att köttskatt skulle kunna vara ett bra idé för att minska köttkonsumtionen, men detta skulle troligtvis påverka våra svenska bönder negativt. Samtidigt skulle det innebära att rika kan fortsätta äta kött medans låginkomsttagare kanske  inte skulle ha möjligheten alls.",experiment4.html,,,
P_2025_04_24_RWXTAZ,2025-04-24 16:10:19.812,78,female,2025-04-24T16:10:18.615Z,0,3,0,2025-04-24T16:13:42.912Z,Håller med deltagare 20,experiment2.html,2025-04-24T16:14:52.674Z,,
P_2025_04_23_1YJRH8,2025-04-23 12:39:27.561,50,male,2025-04-23T12:39:26.052Z,3,4,0,2025-04-23T12:45:53.912Z,Eftersom kött har påverkan på klimatet så är det rimligt att det ska skattas. Dock skulle jag vilja nyansera så att kött som släpats tvärs över Atlanten får en högre skattesats än den närprocuderade köttbiten jag köper i den lokala gårdshandeln. ,experiment1.html,2025-04-23T12:49:16.239Z,,"För mig var ordet köttskatt ett nytt ord. Det blev därför en svajjig inledning på enkäten där jag tvekade om jag skulle kunna besvara en enkät där jag inte riktigt förstod innebörden i ett centralt ord. Ett tips framåt är att ni redan på sidan 1 (i anslutning till ålder och köttvanor) förklarar ordet köttskatt. ""Du kommer snart läsa en debattartikel om en potentiell köttskatt som skulle innebära att..."". "
P_2025_04_23_AWKTVS,2025-04-23 13:29:34.807,42,female,2025-04-23T13:29:33.458Z,2,4,0,2025-04-23T13:31:06.983Z,Tycker köttskatt är bra!,experiment2.html,2025-04-23T13:31:46.053Z,,
P_2025_04_24_K03AHN,2025-04-24 12:41:39.232,22,female,2025-04-24T12:41:37.922Z,2,3,0,2025-04-24T12:48:22.568Z,Intressant. ,experiment3.html,2025-04-24T12:49:45.990Z,,
P_2025_04_23_N7GMH6,2025-04-23 14:25:53.174,47,female,2025-04-23T14:25:51.804Z,2,3,0,2025-04-23T14:28:32.457Z,Jag tycker att sockerskatt vore ett bättre sätt att få in ytterligare skatt samt vara bra för människorna. ,experiment4.html,2025-04-23T14:29:03.535Z,,
P_2025_04_24_T3VERJ,2025-04-24 09:03:33.713,25,female,2025-04-24T09:03:32.441Z,2,3,0,2025-04-24T09:07:38.442Z,"Jag tycker att det kan vara effektivt att införa för att minska utsläpp, men jag tror att vi kan höja/addera skatt på annat först som är mer farligt för människan och miljön. Vi behöver kött, det är näringsrikt. Men inte på bekostnad av miljön. Svår balans, jag tror det ligger något i det. Men kanske fokusera på andra områden först för att minska utsläpp och hälsofaror",experiment1.html,2025-04-24T09:07:59.190Z,,
P_2025_04_23_244Q30,2025-04-23 14:31:23.822,43,male,2025-04-23T14:31:23.821Z,2,3,0,2025-04-23T14:35:26.399Z,Hur många bönder skulle bli arbetslösa om en köttskatt skulle införas?,experiment2.html,2025-04-23T14:36:06.653Z,,
P_2025_04_23_MW6I6F,2025-04-23 15:44:14.917,21,female,2025-04-23T15:44:13.658Z,3,3,0,2025-04-23T15:47:09.671Z,"@deltagare25 ja exakt! Jag håller med om att lokala bönder och vår självförsörjning måste värnas om. En köttskatt är inte helt dum för att minska köttkonsumptionen, men bönder är ju viktiga, det är överkonsumptionen som är det vi fallerar med. ",experiment1.html,2025-04-23T15:47:53.412Z,,
P_2025_04_23_TIL0DP,2025-04-23 18:24:31.274,54,male,2025-04-23T18:24:29.967Z,3,3,1,2025-04-23T18:29:02.988Z,Jag tycker att det låter vettigt att införa punktskatt på kött!,experiment4.html,2025-04-23T18:29:28.905Z,Nej!,
P_2025_04_24_YUX62O,2025-04-24 08:15:18.327,,,,,,,,,,,,
P_2025_04_24_B6LKZH,2025-04-24 14:10:33.773,28,female,2025-04-24T14:10:32.623Z,3,0,0,2025-04-24T14:19:07.698Z,Sjukt att folk kan ha så starka åsikter om kött ,experiment3.html,2025-04-24T14:20:04.998Z,,
P_2025_04_24_EZQFL5,2025-04-24 13:10:05.75,28,female,2025-04-24T13:10:04.567Z,0,4,0,2025-04-24T13:12:25.281Z,Skatta kött från utlandet och främja försäljning av lokalproducerat! Bönderna kommer inte överleva om kött svenskt kött blir dyrare,experiment2.html,2025-04-24T13:12:38.028Z,,
P_2025_04_24_U5S77C,2025-04-24 19:03:49.33,27,female,2025-04-24T19:03:48.160Z,3,4,0,2025-04-24T19:09:49.681Z,"Viktiga är väl att skapa en helhet, skapa ett bättre klimat för både djur & för att kunna bibehålla att kunna konsumera kött i rimlig utsträckning. Det behövs inte detta överflöd.. kanske bara hos lokala gårdar och då betala för det arbete som krävs för att det ska både vara med humant & hållbart. ",experiment1.html,,,
P_2025_04_25_Q05368,2025-04-25 05:19:53.13,24,female,2025-04-25T05:19:51.834Z,2,2,0,2025-04-25T05:24:41.787Z,"Utöver det som står här, tror jag också att en genusanalys hade varit intressant för ytterligare underlag för eventuell punktskatt ",experiment1.html,,,
P_2025_04_27_3OERYK,2025-04-27 09:45:56.229,50,female,2025-04-27T09:45:54.955Z,2,4,0,2025-04-27T09:49:46.224Z,Jag tycker att vägen framåt istället borde vara att satsa på hållbart lantbruk och djurhållning.,experiment2.html,2025-04-27T09:50:10.822Z,,
P_2025_04_28_FB6Q4M,2025-04-28 17:38:46.391,42,female,2025-04-28T17:38:45.125Z,2,3,0,2025-04-28T17:42:18.704Z,Jag tycker att det vore rimligt med punktskatt på kött. Att äta mindre men bättre och ekologiskt kött gynnar både hälsan och planeten. ,experiment4.html,,,
P_2025_04_25_HEAPF4,2025-04-25 15:29:33.213,55,female,2025-04-25T15:31:07.659Z,0,3,2,2025-04-25T15:37:31.670Z,Förbättra djurskyddslagar och kontroller i hela EU. På så sätt blir kött dyrare och bönder kan ha ekonomiska marginaler för att kunna ge djuren bättre levnadsförhållande. Beskatta importerat kött hårt från länder med svaga lagar för djurskydd. Lagför brott på slakterier som plågar djur. Tillåt  övervakning av uppfödare och slakteri. ,experiment3.html,2025-04-25T15:38:29.299Z,Kunde inte backa. Fick börja om. ,Fokus på skatt och inte roten på problemet som är stordrift på bekostnad av djurens livskvalitet. 
P_2025_04_27_RFAIK6,2025-04-27 16:05:25.697,83,male,2025-04-27T16:05:24.508Z,0,3,1,2025-04-27T16:11:17.745Z,Jag håller inte med om att köttskatt vore bra. ,experiment1.html,2025-04-27T16:11:55.389Z,Nej,
P_2025_04_28_5OP01B,2025-04-28 17:49:00.448,56,female,2025-04-28T17:48:58.941Z,2,4,0,2025-04-28T17:52:12.518Z,",",experiment2.html,,,
P_2025_04_28_XDUGY3,2025-04-28 10:56:46.285,49,male,2025-05-04T20:25:19.209Z,1,3,0,2025-05-04T20:32:48.782Z,"Denna diskussion om kött har pågått så länge. Om vi inför en skatt på ex. närproducerat kött finns det en risk att det kommer komma in andra aktörer på marknader som inte hanterar djuren väl. 
Det finns så mycket annat som vi kan lägga fokus på i värld, och som är mycket allvarligare än det här.  ",experiment4.html,,,
